N,Unsorted Table Map (AVG),Sorted Table (Best),Sorted Table (AVG/WORST),ChainHashMap,ProbeHashMap,BST(BEST),BST(AVG),BSTWORST,nlogn,n^2,,Unsorted Table Map (AVG)- Time/Expected,Sorted Table (Best)-Time/Expected,Sorted Table (AVG/WORST)-Time/Expected,ChainHashMap-Time/Expected,ProbeHashMap-Time/Expected,BST(BEST)-Time/Expected,BST(AVG)-Time/Expected,BSTWORST-Time/Expected
2,3.79E-07,6.87E-07,4.76E-07,1.27E-06,5.64E-07,5.83E-07,3.96E-07,1.53E-07,0.602059991,4,,6.30E-07,1.14E-06,7.90E-07,2.11E-06,9.38E-07,9.68E-07,6.58E-07,3.83E-08
4,1.99E-07,1.35E-06,6.60E-07,1.33E-06,4.18E-07,5.86E-07,1.92E-07,1.77E-07,2.408239965,16,,3.31E-07,2.23E-06,1.10E-06,2.21E-06,6.94E-07,9.73E-07,3.19E-07,1.11E-08
8,2.76E-07,2.55E-07,5.56E-07,1.02E-06,6.41E-07,8.13E-07,4.06E-07,2.51E-07,7.224719896,64,,4.58E-07,4.24E-07,9.23E-07,1.69E-06,1.06E-06,1.35E-06,6.74E-07,3.92E-09
16,1.03E-06,5.14E-07,3.87E-06,8.35E-06,7.12E-06,1.20E-06,9.83E-07,9.15E-07,19.26591972,256,,1.72E-06,8.54E-07,6.42E-06,1.39E-05,1.18E-05,2.00E-06,1.63E-06,3.58E-09
32,2.97E-06,1.07E-06,2.44E-06,1.18E-05,1.56E-05,2.81E-06,2.63E-06,4.82E-06,48.16479931,1024,,4.94E-06,1.77E-06,4.05E-06,1.96E-05,2.58E-05,4.67E-06,4.37E-06,4.71E-09
64,4.70E-06,2.43E-06,6.98E-06,3.34E-05,1.72E-05,7.69E-06,3.60E-06,7.13E-06,115.5955183,4096,,7.80E-06,4.03E-06,1.16E-05,5.54E-05,2.86E-05,1.28E-05,5.98E-06,1.74E-09
128,1.50E-05,2.60E-06,8.12E-06,2.09E-05,1.33E-05,1.40E-05,1.06E-05,2.38E-05,269.7228761,16384,,2.50E-05,4.31E-06,1.35E-05,3.47E-05,2.20E-05,2.33E-05,1.76E-05,1.45E-09
256,5.93E-05,5.16E-06,3.69E-05,6.23E-05,4.11E-05,2.40E-05,2.68E-05,1.05E-04,616.5094311,65536,,9.84E-05,8.57E-06,6.12E-05,1.04E-04,6.82E-05,3.99E-05,4.46E-05,1.60E-09
512,1.78E-04,1.04E-05,4.70E-05,8.13E-05,5.09E-05,6.46E-05,4.22E-05,4.35E-04,1387.14622,262144,,2.96E-04,1.73E-05,7.81E-05,1.35E-04,8.46E-05,1.07E-04,7.01E-05,1.66E-09
1024,7.89E-04,2.03E-05,1.25E-04,1.61E-04,1.03E-04,1.61E-04,1.04E-04,0.001969745,3082.547156,1048576,,1.31E-03,3.38E-05,2.08E-04,2.68E-04,1.70E-04,2.67E-04,1.73E-04,1.88E-09
